name,rating,studio,genre,actor1,actor2,actor3,writer,director,date,origin,metascore,Worldwide Gross
Brother Bear,G,Buena Vista Pictures / Walt Disney Pictures,Adventure,Joaquin Phoenix,Jeremy Suarez,Jason Raize,Steve Bencich,Aaron Blaise,2004,USA,48,226029248
Good Will Hunting,R,Miramax Films,Drama,Robin Williams,Matt Damon,Ben Affleck,Matt Damon,Gus Van Sant,1999,USA,70,225800000
Con Air,R,Buena Vista Pictures,Action,Nicolas Cage,John Malkovich,John Cusack,Scott Rosenberg,Simon West,1998,USA,52,223100000
Mr. Bean's Holiday,PG,Universal Pictures,Comedy,Rowan Atkinson,Steve Pemberton,Preston Nyman,Rowan Atkinson,Steve Bendelack,2007,UK,56,221953210
Fahrenheit 9/11,No,Lions Gate Films / IFC Films / Fellowship Adventure Group,Documentary,Michael Moore,George W. Bush,,Michael Moore,Michael Moore,2004,USA,67,220078393
Ghost Rider,PG,Sony Pictures Releasing,Action,Nicolas Cage,Eva Mendes,Peter Fonda,Mark Steven Johnson,Mark Steven Johnson,2007,USA,35,219702596
Elf,PG,New Line Cinema,Comedy,Will Ferrell,James Caan,Mary Steenburgen,David Berenbaum,Jon Favreau,2004,USA,64,219700000
Knocked Up,R,Universal Pictures,Comedy,Seth Rogen,Katherine Heigl,Paul Rudd,Judd Apatow,Judd Apatow,2007,USA,85,218734225
The Prince of Egypt,PG,DreamWorks Distribution LLC,Animation,Val Kilmer,Ralph Fiennes,Michelle Pfeiffer,Philip LaZebnik,Brenda Chapman,2003,USA,64,218400000
Flightplan,PG,Buena Vista Pictures,Drama,Jodie Foster,Peter Sarsgaard,Sean Bean,Peter A. Dowling,Robert Schwentke,2006,USA,53,218306988
Wild Wild West,PG,Warner Bros.,Western,Will Smith,Kevin Kline,Kenneth Branagh,S.S. Wilson,Barry Sonnenfeld,1999,USA,38,217700000
Twins,PG,Universal Pictures,Comedy,Arnold Schwarzenegger,Danny DeVito,Kelly Preston,William Davies,Ivan Reitman,1998,USA,53,216600000
Ghostbusters II,PG,Columbia Pictures,Action,Bill Murray,Dan Aykroyd,Harold Ramis,Dan Aykroyd,Ivan Reitman,2005,USA,56,215400000
The Patriot,R,Sony Pictures Entertainment,War,Mel Gibson,Heath Ledger,Joely Richardson,Robert Rodat,Roland Emmerich,2000,USA,63,215300000
The Bourne Identity,PG,MCA/Universal Pictures,Suspense/Thriller,Matt Damon,Franka Potente,Clive Owen,Tony Gilroy,Doug Liman,2003,Czech Republic / USA,68,213500000
Crouching Tiger Hidden Dragon,PG,Sony Pictures Classics,Fantasy,Chow Yun-Fat,Michelle Yeoh,Zhang Ziyi,Hui-Ling Wang,Ang Lee,2001,China / Taiwan / USA,93,213200000
Pulp Fiction,R,Miramax Films,Suspense/Thriller,John Travolta,Samuel L. Jackson,Uma Thurman,Quentin Tarantino,Quentin Tarantino,1998,USA,94,212900000
