Date,Open,High,Low,Close,Volume,Adj Close
1/12/2006,5493.6,5503.6,5434.1,5437.2,649641400,5437.2
30/11/2006,5471,5496.1,5463,5489.7,927606300,5489.7
29/11/2006,5390.4,5460.3,5376.9,5460.3,912078900,5460.3
28/11/2006,5443.1,5443.1,5376.9,5392.4,771761300,5392.4
27/11/2006,5458.1,5478.2,5453,5459.6,565249200,5459.6
24/11/2006,5471.5,5471.5,5440.4,5460,816647900,5460
23/11/2006,5452.4,5478.9,5443.1,5472,729453200,5472
22/11/2006,5379.7,5454.5,5379,5451.5,876435400,5451.5
21/11/2006,5328.6,5378.8,5328.6,5364.3,737091400,5364.3
20/11/2006,5419.9,5423.7,5328.2,5328.2,1041232900,5328.2
17/11/2006,5389.8,5430,5362,5424.1,667033100,5424.1
16/11/2006,5433.8,5440.7,5380.7,5397.1,624886700,5397.1
15/11/2006,5444.1,5466,5426.6,5434.3,628288200,5434.3
14/11/2006,5425.9,5454.1,5423.3,5440.3,640159900,5440.3
13/11/2006,5430.3,5438.9,5421.4,5423.8,527432800,5423.8
10/11/2006,5440.6,5446.2,5421.2,5442.4,709421300,5442.4
9/11/2006,5454.7,5455.4,5412.6,5434.3,684679900,5434.3
8/11/2006,5497.3,5498.4,5464.3,5464.3,631671000,5464.3
7/11/2006,5465.4,5500.6,5465.4,5496.2,410343000,5496.2
6/11/2006,5439,5449.5,5429.5,5449.5,452850600,5449.5
3/11/2006,5414.3,5437.3,5400.2,5437,596353700,5437
2/11/2006,5416,5416,5380.8,5414.1,709214900,5414.1
1/11/2006,5394.4,5422.9,5394.4,5420.3,663627700,5420.3
31/10/2006,5395,5404.4,5380.7,5388.3,663873800,5388.3
30/10/2006,5361.2,5412.8,5353.1,5402.5,589927200,5402.5
27/10/2006,5389.3,5389.3,5354.9,5362.4,891938700,5362.4
26/10/2006,5366.3,5394.7,5365.7,5393.2,801659300,5393.2
25/10/2006,5321.7,5359,5321.7,5356.4,704608200,5356.4
24/10/2006,5335.8,5360.9,5320.1,5321.2,689696900,5321.2
23/10/2006,5336.8,5348.3,5326.8,5337.1,533041700,5337.1
20/10/2006,5300.8,5338.1,5300.8,5338.1,771378100,5338.1
19/10/2006,5308.6,5321.5,5282.2,5288.5,724163700,5288.5
18/10/2006,5278.6,5315.2,5267.1,5315.2,830642300,5315.2
17/10/2006,5322.6,5334.6,5279.5,5283.3,760982000,5283.3
16/10/2006,5296.7,5319.8,5295.8,5311.1,643429300,5311.1
13/10/2006,5275.1,5313.9,5274.5,5289.3,645422700,5289.3
12/10/2006,5279.5,5287.2,5259.4,5259.4,704353700,5259.4
11/10/2006,5248.2,5281.5,5238.8,5281.5,649499000,5281.5
9/10/2006,5223.8,5228.8,5172.7,5198.3,518381500,5198.3
6/10/2006,5218.4,5226.1,5211.2,5218.1,521611600,5218.1
5/10/2006,5147.1,5216.5,5147.1,5216,622869700,5216
4/10/2006,5164.1,5171.3,5140.4,5140.4,566484900,5140.4
3/10/2006,5172,5190.9,5146,5181.6,553229100,5181.6
2/10/2006,5149.8,5185.7,5145.9,5176.1,239692800,5176.1
29/09/2006,5114.2,5151.8,5111.9,5150.8,769488400,5150.8
28/09/2006,5100.8,5116.9,5093,5110.9,796900000,5110.9
27/09/2006,4987.3,5091.9,4987.3,5089.8,779112400,5089.8
26/09/2006,4977.3,5002.1,4975,4987.2,616472000,4987.2
25/09/2006,4974.1,4994.6,4961,4984,645447900,4984
22/09/2006,4990.2,4990.9,4961.5,4980.2,698832700,4980.2
21/09/2006,4996.1,5031.3,4981.7,4992.5,1274100000,4992.5
20/09/2006,5037,5037,4993.6,4995.6,722060100,4995.6
19/09/2006,5077.4,5093.1,5052.5,5052.5,540262800,5052.5
18/09/2006,5029.6,5067.3,5020,5067.3,482216200,5067.3
